scenario_id,group_id,title,profile,surface,is_gui_e2e,priority,critical,repeat_count,repeat_policy,preconditions,steps,expected_result,validator,cleanup,status,evidence_path,operator_case_id
FUNC-0065,G03,Mono absence of internal output leak,gemma4-mono,GUI/Dialog,TRUE,P0,TRUE,3,critical_repeat,Owned mono stack ready,Submit OP-0065 ordinary prose request; inspect transport and DOM,"No raw tool call, event, role, schema, JSON envelope or internal instruction fragment",Known-marker scan; envelope detector; rendered/transport comparison,Delete campaign conversation,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0065
FUNC-0066,G04,Mono conversation isolation,gemma4-mono,GUI/two dialog windows,TRUE,P0,TRUE,3,critical_repeat,Two conversations with unique markers,Interleave OP-0066 turns; reload both,No marker or temporary instruction crosses conversations,Marker matrix; conversation/message ID checks,Delete both conversations,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0066
FUNC-0067,G02,Mono profile model and diagnostics truth,gemma4-mono,GUI/System Models Resources,TRUE,P0,TRUE,3,critical_repeat,Mono dispatcher ready; identities captured independently,Open panels; submit OP-0067,UI and answer identify mono profile and real 31B model; telemetry is current,Launcher/config/container/provider/API/UI equality,Read-only; no cleanup,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0067
FUNC-0068,G07,Mono web result or honest unavailability,gemma4-mono,GUI/Dialog and Internet,TRUE,P1,FALSE,2,ordinary_repeat,Connectivity state recorded,Submit OP-0068,Returns synthesized cited result or precise environment blocker; never bare-link handoff,Citation/reachability or blocker rubric; marker scan,Delete conversation; close campaign browser session,INCONCLUSIVE,evidence/gui_operator_runs.jsonl;evidence/PROFILE_SEMANTIC_REVIEW_RECONCILIATION.csv,OP-0068
FUNC-0069,G01,Launcher cold start,all_active,Launcher/process/API,FALSE,P0,TRUE,3,critical_repeat_per_profile,Checkpoint and ownership manifest; required local assets present,From documented stopped state run jarvis.cmd start for each profile; measure readiness,Owned services reach truthful ready/degraded state without pull or hidden dependency action,Exit code; process birth IDs; ports; health; readiness; logs sanitized,Stop only owned stack and return to per-profile baseline,FAIL,evidence/isolated-launch-turbo-process-v2.json;evidence/mono-startup-timeout-20m.json;evidence/mono-ready-after-27m.json,
FUNC-0070,G01,Launcher warm and repeated start,all_active,Launcher/process/API,FALSE,P1,FALSE,2,ordinary_repeat_per_profile,Each profile already ready and ownership recorded,Repeat start and app commands; observe reuse and process identities,No duplicate services; compatible dispatcher is reused; app mode preserves existing LLM,PID/container identity; port-owner diff; launcher state,Return to original owned state,FAIL,evidence/startup-gemma4-turbo-warm.json;evidence/startup-gemma4-turbo-warm-r2.json;evidence/startup-gemma4-turbo-warm-r3.json,
FUNC-0071,G01,Stop restart and ownership,all_active,Launcher/process/API,FALSE,P0,TRUE,3,critical_repeat_per_profile,Owned and reused-dispatcher fixtures separately proven,Restart owned stack; stop; repeat with reused dispatcher fixture,Owned services stop/restart cleanly; reused dispatcher is never stopped,Process tree and container IDs; port closure; state-file ownership,Return to documented initial state,INCONCLUSIVE,evidence/stop-default-stack.json;evidence/status-turbo-final.json;evidence/stop-before-startup-faults.json;evidence/startup-fault-fixtures.json,
FUNC-0072,G01,Partial stack occupied port interrupted startup,gemma4-turbo,Launcher/process,FALSE,P1,FALSE,2,ordinary_repeat,Reversible owned port-holder and startup interruption fixtures,Exercise partial stack; non-Jarvis occupied port; interrupted startup,Launcher fails clearly and preserves unrelated process; no stale success; bounded cleanup,Exit/error text; process identity; ports; launcher state,Stop fixtures by recorded PID; restore normal stack,PASS,evidence/startup-fault-fixtures.json,
FUNC-0073,G02,Unknown profile and malformed config,all_active,Launcher/CLI/config,FALSE,P1,FALSE,1,deterministic_single_binary_validation,No service mutation required,Invoke unknown profile and controlled malformed copied config,Rejected before mutation with valid-profile guidance and nonzero outcome,Exit code; exact profile allowlist; no process/state diff,Delete copied config fixture,BLOCKED_BY_SPEC,evidence/startup-unknown-profile.json,
FUNC-0074,G01,Full doctor smoke,gemma4-turbo,doctor.ps1/smoke.py,FALSE,P1,FALSE,1,deterministic_single_full_suite_once,Repository dependencies installed; campaign state recorded,Run scripts/doctor.ps1 once including frontend and optional HTTP probes,All required checks have binary final status; optional gaps are labeled degraded,Pytest/ruff/compile/Compose/npm audit/typecheck/build exit summaries; HTTP statuses,Remove only generated caches owned by command if required; preserve user changes,FAIL,evidence/doctor-full-final-sanitized-v2.json;evidence/doctor-failure-targeted-clean-env.json,
FUNC-0075,G12,REST normal and validation-error contract,all_active,Backend REST API,FALSE,P1,FALSE,1,deterministic_single_schema_matrix,Owned backend ready; API token state recorded,Probe representative GET/POST validation and 404/409 cases without dangerous execution,Responses match schemas and expose actionable bounded errors without traceback or secrets,HTTP status/schema validators; secret and traceback scan,Delete only namespaced records created by probes,INCONCLUSIVE,evidence/jarvis-functional-turbo-v2-20260713T163821Z-88fd91140364.csv;evidence/technical-mono-ready.json,
FUNC-0076,G03,API stream interrupt cancel retry,all_active,POST /api/chat/stream,FALSE,P0,TRUE,3,critical_repeat_per_profile,Owned backend and profile ready; unique conversation per repeat,Start stream; simulate slow consumer/interruption; inspect interrupted state; retry,No duplicate or late terminal; partial is labeled; retry yields one coherent saved final,NDJSON parser; meta/delta/done ordering; message counts; duplicate scan,Delete campaign conversations; restore transport fixture,INCONCLUSIVE,evidence/jarvis-functional-turbo-v2-20260713T163821Z-88fd91140364.csv;evidence/gui_operator_runs.jsonl,
FUNC-0077,G04,WebSocket reconnect and cross-session isolation,all_active,/ws/events plus GUI,FALSE,P0,TRUE,3,critical_repeat_per_profile,Owned backend/frontend; two authenticated campaign sessions,Connect; interleave session events; disconnect/reconnect; inspect GUI consumers,Reconnect succeeds; events are compatible and conversations never mix,WS frame schema; event IDs; conversation marker matrix; DOM checks,Close sockets; delete campaign conversations,INCONCLUSIVE,evidence/jarvis-functional-turbo-v2-20260713T163821Z-88fd91140364.csv;evidence/gui_operator_runs.jsonl,
FUNC-0078,G02,End-to-end profile model mapping,all_active,Launcher/config/container/provider/API/GUI,FALSE,P0,TRUE,3,critical_repeat_per_profile,Local model assets exist; owned dispatcher transitions allowed,"Select each profile; capture resolved config, container command, provider model and UI identity",All five identity layers agree on selected profile and actual loaded model,Exact profile/model mapping and runtime flag comparison,Return to documented initial profile and ownership state,FAIL,evidence/mono-perf-direct-model-probes.json;evidence/mono-direct-model-probes-ready.json;evidence/gui_operator_runs.jsonl,
FUNC-0079,G13,Offline-ready startup and recovery,gemma4-turbo,Network fixture/launcher/API/GUI,FALSE,P0,TRUE,3,critical_repeat,Loopback-preserving reversible external network fixture tested; local assets present,Disable external connectivity; start local core; exercise web failure; restore; retry,Core starts without pull/download; network functions fail honestly; recovery works without state corruption,Network probes; process/container events; API/GUI responses; download log scan,Restore network and verify normal smoke,BLOCKED_BY_ENV,evidence/gui_operator_runs.jsonl,
FUNC-0080,G08,Persistence backup restart lock and restore on copy,gemma4-turbo,Copied state/API/GUI,FALSE,P0,FALSE,2,ordinary_repeat,Copied/generated state root; owned runtime; backup hashes recorded,"Exercise backup/integrity, mission interruption/restart, DB lock/read-only/temp unavailability and restore on copy",No duplicate state or false completion; errors actionable; copied state restores consistently,SQLite integrity; row/message/task counts; hashes; API/GUI state,Discard copied state only; leave live state unchanged,INCONCLUSIVE,evidence/technical-during-mono-startup.json;evidence/technical-mono-ready.json,
FUNC-0081,G14,CLI read-only command matrix,all_active,jarvis.py CLI,FALSE,P1,FALSE,1,deterministic_single_binary_command_matrix,Runtime state captured; commands limited to read-only variants,"Run profiles,status,models,tools,llm-health,dispatcher-status,dispatcher-compose,telemetry,host-bridge,autonomy,persona,files,file-search,audit,approvals",Each command exits predictably and emits parseable truthful output or exact environment blocker,Exit code; JSON parse; API/state comparison; secret scan,Read-only; no cleanup,INCONCLUSIVE,evidence/technical-during-mono-startup.json;evidence/technical-mono-ready.json;evidence/jarvis-functional-turbo-v2-20260713T163821Z-88fd91140364.csv,
FUNC-0082,G05,CLI guarded mutation and error matrix,gemma4-turbo,jarvis.py CLI,FALSE,P1,FALSE,2,ordinary_repeat,Copied/namespaced state; owned services; harmless action fixtures,"Exercise init,backup,chat,learning-tick,persona-set,ingest,approval lifecycle,tool-run,mission-next/run and owned dispatcher/serve paths","Mutations are scoped, approvals bound, failures nonzero/actionable and outputs truthful",State diff allowlist; action binding; artifacts; exit codes; audit records,Restore snapshots; delete only campaign fixtures; return services,PASS,evidence/guarded-cli-matrix.json,
FUNC-0083,G10,Startup latency throughput and resource release,all_active,Launcher/API/GUI/telemetry,FALSE,P1,FALSE,2,ordinary_repeat_per_profile,Stable idle baseline; telemetry collection available,"Measure startup, TTFT, completion, API/UI latency, bounded concurrency and shutdown release",Measurements are labeled observations; resources remain bounded and release after owned stop,Monotonic timestamps; GPU/RAM/disk deltas; request success; process exit,Return to idle documented state,FAIL,evidence/mono-perf-direct-model-probes.json;evidence/mono-direct-model-probes-ready.json;evidence/mono-startup-timeout-20m.json;evidence/bounded-soak-turbo.json,
FUNC-0084,G10,Bounded long-run conversation mission soak,gemma4-turbo,GUI/API/telemetry,FALSE,P1,FALSE,2,ordinary_repeat,"Watchdog, disk budget and owned stack configured",Run bounded long conversation and read-only mission while sampling resources and logs,"No uncontrolled growth, duplicate finals, cross-session mix or unrecovered degradation",Watchdog; resource series; log/cache/history growth; state counts,End jobs; delete campaign conversations; retain summarized metrics,INCONCLUSIVE,evidence/bounded-soak-turbo.json;evidence/gui_operator_runs.jsonl,
FUNC-0085,G12,Frontend freshness service worker resize keyboard zoom,gemma4-turbo,Production Command Center,FALSE,P1,FALSE,1,deterministic_single_ui_matrix,Production frontend built; browser profile isolated,"Verify BUILD_ID freshness, service worker shell, panels, keyboard/focus, resize, long content and supported zoom/DPI matrix",Current source is served; controls remain usable; errors and offline shell are truthful,BUILD_ID/source mtimes; browser assertions; accessibility/focus checks; screenshots,Close isolated browser profile; restore viewport/network,FAIL,evidence/gui-stale-state-after-home-switch.json;evidence/backend-conversations-after-home-switch-v2.json;evidence/frontend-freshness.json;evidence/gui-final-keyboard-focus.json;evidence/gui-resize-zoom.json,
FUNC-0086,G01,Final cleanup ownership and normal smoke,gemma4-turbo,Launcher/process/container/API/GUI,FALSE,P0,TRUE,3,critical_repeat,All campaign process/container/state manifests available,Stop campaign-owned fixtures; restore intended runtime; run status and normal smoke,No orphan audit process/port/container; user-owned state preserved; documented final state is healthy or exact blocker,Manifest reconciliation; process/container/port diff; health/UI checks,None beyond verified final state,PASS,evidence/final-normal-start.json;evidence/final-normal-smoke.json;evidence/final-normal-gui-smoke.json;evidence/final-cleanup.json;evidence/final-cleanup-inventory-v2.json;evidence/final-machine-baseline-restored.json,
