operator_case_id,scenario_id,group_id,profile,title,request_template,follow_up_template,expected_result,constraints,forbidden_output,deterministic_validators,semantic_review_passes,rubric_dimensions,critical,repeat_count,status,evidence_path
OP-0054,FUNC-0054,G04,gemma4-mono-perf,Mono-perf conversation isolation,Окно A хранит MP-A-{repeat} и отвечает списком; окно B хранит MP-B-{repeat} и отвечает одним предложением. В каждом окне спроси свой marker и правило.,Какой marker и формат относятся только к этому окну?,Each window returns only its own marker/format,No cross-session instruction or marker,Other marker; other format; session internals,Marker matrix; conversation/message IDs; format validator,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0055,FUNC-0055,G02,gemma4-mono-perf,Mono-perf profile truth,"Проверь фактическое состояние и скажи, какой профиль, модель и лимит контекста сейчас активны. Не угадывай.",,"Mono-perf, real 31B identity and configured 4k context match all layers",Concise; separate configured and observed state,Turbo/mono mismatch; invented loaded model; env/secrets dump,Launcher/config/container/provider/API/UI equality,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0056,FUNC-0056,G07,gemma4-mono-perf,Mono-perf web,"Найди на публичном сайте python.org название текущей стабильной ветки Python и дай короткий вывод со ссылкой. Если интернет недоступен, скажи это точно и предложи один retry-шаг.",,Cited live result or exact actionable blocker,No bare-link handoff; distinguish live/cache/unavailable,Invented live claim; raw HTTP error; look-in-tab handoff,URL reachability/freshness or blocker rubric; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0057,FUNC-0057,G03,gemma4-mono,Mono direct answer,Почему металлическая ложка кажется холоднее деревянной при одинаковой температуре? Ответь по-русски в двух коротких предложениях.,,Correct thermal-conductivity explanation,Two short sentences; Russian,Internal structures; JSON envelope; traceback,Sentence count; key fact; language; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0058,FUNC-0058,G03,gemma4-mono,Mono strict format,"Верни Markdown-таблицу с колонками Код и Значение и ровно тремя строками: A—1, B—2, C—3. Ничего кроме таблицы.",,Exact requested table,Three data rows; two columns; no prose,Extra row/column; JSON; preamble,Markdown table parser; exact cells,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0059,FUNC-0059,G04,gemma4-mono,Mono multi-turn,"Первый ход: предложи два коротких названия для backup-плана и объясни каждое одной строкой. Второй ход: выбери первый вариант и сократи объяснение до пяти слов, сохрани русский язык.","Выбери первый вариант и сократи объяснение до пяти слов, сохрани русский язык.",Correct first option selected and explanation ≤5 words,Retain option identity and Russian language,Second option; >5 words; lost context,Option identity; word count; language,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0060,FUNC-0060,G03,gemma4-mono,Mono stream integrity,Дай семь коротких пунктов проверки данных после восстановления backup.,,One complete seven-item rendered final,Seven bullets; no duplicate terminal,Transport frames; raw events; duplicate/truncated final,NDJSON reconstruction; item/terminal count; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0061,FUNC-0061,G05,gemma4-mono,Mono ordinary tool,Через доступный read-only инструмент проверь активный профиль JARVIS и сообщи результат одним предложением.,,Only necessary safe tool runs and actual profile is stated,Read-only; one sentence,Mutation; guessed profile; tool envelope,Tool/audit record; actual settings; sentence/marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0062,FUNC-0062,G06,gemma4-mono,Mono document fact,В приложенном mono-doc-{repeat}.txt найди значение ключа restore_token и верни только его.,,Exact controlled token from source,Only value; no explanation,Wrong file; invented fact; retrieval structure,Exact token; attachment/source ID; output equality,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0063,FUNC-0063,G12,gemma4-mono,Mono failure recovery,Попробуй прочитать повреждённый mono-bad-{repeat}.pdf и дай краткий вывод. После ошибки я приложу исправный файл; повтори задачу.,Теперь приложен исправный mono-good-{repeat}.pdf; повтори краткий вывод.,Actionable first error and successful clean retry,No false success; no stale partial output,Traceback; parser dump; stale success; duplicate final,Error rubric; output diff; retry fact checklist; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0064,FUNC-0064,G08,gemma4-mono,Mono mission,"Создай и выполни короткую read-only mission: сравни два приложенных файла по status и checksum, затем дай final report с реальными различиями.",,Mission executes and report answers original goal,Read-only; two controlled fields; truthful progress,Plan-only handoff; false completion; raw DAG object,Task/progress/event state; difference matrix; report rubric,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0065,FUNC-0065,G03,gemma4-mono,Mono response integrity,"Обычным текстом объясни разницу между backup и snapshot. Не используй JSON, таблицы и списки.",,Natural prose without internal output leakage,Russian prose; no JSON/table/list,Tool calls; events; roles; schema; internal prompt; traceback,Envelope/marker detector; format scan; transport/DOM comparison,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0066,FUNC-0066,G04,gemma4-mono,Mono conversation isolation,Окно A хранит MONO-A-{repeat} и отвечает таблицей; окно B хранит MONO-B-{repeat} и отвечает одним предложением. В каждом спроси свой marker и правило.,Какой marker и формат относятся только к этому окну?,Each window returns only its own marker/format,No cross-session instruction or marker,Other marker; other format; session internals,Marker matrix; conversation/message IDs; format validator,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0067,FUNC-0067,G02,gemma4-mono,Mono profile truth,"Проверь фактическое состояние и скажи, какой профиль, модель и лимит контекста сейчас активны. Не угадывай.",,"Mono, real 31B identity and configured 16k context match all layers",Concise; separate configured and observed state,Turbo/mono-perf mismatch; invented loaded model; env/secrets dump,Launcher/config/container/provider/API/UI equality,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,TRUE,3,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
OP-0068,FUNC-0068,G07,gemma4-mono,Mono web,"Найди на публичном сайте python.org название текущей стабильной ветки Python и дай короткий вывод со ссылкой. Если интернет недоступен, скажи это точно и предложи один retry-шаг.",,Cited live result or exact actionable blocker,No bare-link handoff; distinguish live/cache/unavailable,Invented live claim; raw HTTP error; look-in-tab handoff,URL reachability/freshness or blocker rubric; marker scan,2,intent_fidelity;task_completion;constraint_adherence;truthfulness;response_integrity;state_consistency;recovery_quality;ux_clarity,FALSE,2,INCONCLUSIVE,evidence/gui_operator_runs.jsonl
